archivo_web,fuente,nombre_original,ruta_master,estado
pub_francia_colera.jpeg,N/A,N/A,N/A,HUÉRFANO
revista_sueca_1995.jpeg,N/A,N/A,N/A,HUÉRFANO
spiegel_das_war_1991.jpeg,N/A,N/A,N/A,HUÉRFANO
spiegel_pampa_1991.jpeg,N/A,N/A,N/A,HUÉRFANO
spiegel_pampa_1991_tex.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_colera_portada.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_colera_texto.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_estadio_nacional.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_estadio_texto_1.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_estadio_texto_2.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_sondag_.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_sondag_portada_1.jpeg,N/A,N/A,N/A,HUÉRFANO
sueca_sondag_portada_2.jpeg,N/A,N/A,N/A,HUÉRFANO
